File,Region,Date,Pollutant,Concentration_µg/m³
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-15,Particulate Matter 2.5 µg/m³,5.0148454
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-16,Particulate Matter 2.5 µg/m³,2.9101427
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-17,Particulate Matter 2.5 µg/m³,4.568378
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-18,Particulate Matter 2.5 µg/m³,4.74149
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-19,Particulate Matter 2.5 µg/m³,6.873796
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-20,Particulate Matter 2.5 µg/m³,7.911385
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-21,Particulate Matter 2.5 µg/m³,8.014694
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-22,Particulate Matter 2.5 µg/m³,7.01355
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-23,Particulate Matter 2.5 µg/m³,4.1193347
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-24,Particulate Matter 2.5 µg/m³,4.572813
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-25,Particulate Matter 2.5 µg/m³,5.615991
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-26,Particulate Matter 2.5 µg/m³,4.1637473
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-27,Particulate Matter 2.5 µg/m³,6.2572556
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-28,Particulate Matter 2.5 µg/m³,8.082519
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-29,Particulate Matter 2.5 µg/m³,6.5919166
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-30,Particulate Matter 2.5 µg/m³,7.1692047
cams.eaq.ira.ENSa.pm2p5.l0.2023-12.nc,Moudros,2023-12-31,Particulate Matter 2.5 µg/m³,9.556694
